name,full_text,protasis,apodosis,witnesses,animal
"""32.A.VAT09906.66""",If lizards are very numerous in a man's house – abandonment of the man's house.,If ditto = lizards are very numerous in a man's house,abandonment of the man's house.,['VAT 09906'],lizard
"""32.A.VAT09906.67""",If a lizard falls – that man will die,If a lizard falls,that man will die,['VAT 09906'],lizard
"""32.A.28""",If a lizard enters underneath a man's table and lies down – his social standing won't be stable.,If a lizard enters underneath a man's table and lies down,his social standing won't be stable.,['VAT 10167'],lizard
"""32.A.29""",If a lizard falls onto a man's bed and lies down – his social standing will be stable.,If a lizard falls onto a man's bed and lies down,his social standing will be stable.,"['VAT 10167', 'VAT 10167']",lizard
"""32.A.102""",If entwined lizards crawl into a man's lap and separate and behind  – will seize.,If = entwined lizards crawl ditto = into a man's lap and separate and behind,will seize.,"['VAT 09793', 'VAT  10167']",lizard
"""32.A.22""",If a lizard climbs onto a man's stool – he will become critally ill.,If a lizard climbs onto a man's stool,he will become critally ill.,['VAT 10167'],lizard
"""32.A.23""",If a lizard enters underneath a man's chair and lies down – an enemy will inhabit that house.,If a lizard enters underneath a man's chair and lies down,an enemy will inhabit that house.,"['VAT 10167', 'VAT 10167']",lizard
"""32.A.25""",If a lizard falls onto a man's table – he will be vexed.,If a lizard falls onto a man's table,he will be vexed.,['VAT 10167'],lizard
"""32.A.26""",If a lizard falls onto a table into a <bo>wl – an illness will seize him.,If a lizard falls onto a table into a <bo>wl,an illness will seize him.,['VAT 10167'],lizard
"""32.A.86""",If a lizard walks about under a sitting man – that man will prevail literally: will stand on over his adversary.,If a lizard walks about under a sitting man,that man will prevail literally: will stand on over his adversary.,"['VAT  10167', 'VAT  10167']",lizard
"""32.A.87""",If a man unwittingly steps on a lizard and thereby kills it – he will win in a court case.,If a man unwittingly steps on a lizard and thereby kills it,he will win in a court case.,"['VAT  10167', 'VAT  10167']",lizard
